rideable_type,ride_count,total_ride_minutes,mean_ride_length,median_ride_length,ride_percentage,minutes_percentage
classic_bike,653723,15382807.73,23.53,15.92,33.35,45.65
electric_bike,1306361,18310823.86,14.02,9.75,66.65,54.35
